Iterations;PopulationSize;Pc;Pm;Pi;ElapsedMilliseconds;BestGen;BestFitness
10000;20;0,9;0,1;0,05;9601;9375;750
10000;20;0,9;0,1;0,1;6941;8222;688
10000;20;0,9;0,1;0,2;6305;8903;715
10000;20;0,9;0,3;0,05;7222;9619;687
10000;20;0,9;0,3;0,1;6712;8760;697
10000;20;0,9;0,3;0,2;5279;9003;851
10000;20;0,9;0,5;0,05;5219;9191;976
10000;20;0,9;0,5;0,1;5302;9811;921
10000;20;0,9;0,5;0,2;5248;9871;914
10000;20;0,7;0,1;0,05;4517;9804;663
10000;20;0,7;0,1;0,1;5061;9809;660
10000;20;0,7;0,1;0,2;5106;5886;713
10000;20;0,7;0,3;0,05;4781;9977;714
10000;20;0,7;0,3;0,1;5996;9673;725
10000;20;0,7;0,3;0,2;4667;9341;712
10000;20;0,7;0,5;0,05;5301;9788;782
10000;20;0,7;0,5;0,1;5252;9982;818
10000;20;0,7;0,5;0,2;5289;9996;777
10000;20;0,5;0,1;0,05;4369;9334;800
10000;20;0,5;0,1;0,1;4571;9909;641
10000;20;0,5;0,1;0,2;3918;7184;689
10000;20;0,5;0,3;0,05;3938;9842;675
10000;20;0,5;0,3;0,1;4050;5214;708
10000;20;0,5;0,3;0,2;4357;8510;764
10000;20;0,5;0,5;0,05;4123;9930;720
10000;20;0,5;0,5;0,1;4918;8601;779
10000;20;0,5;0,5;0,2;5723;7221;801
10000;50;0,9;0,1;0,05;13573;8819;759
10000;50;0,9;0,1;0,1;13058;8383;640
10000;50;0,9;0,1;0,2;29516;6470;643
10000;50;0,9;0,3;0,05;34130;9994;778
10000;50;0,9;0,3;0,1;25465;8983;702
10000;50;0,9;0,3;0,2;27708;9893;1112
10000;50;0,9;0,5;0,05;22254;9909;904
10000;50;0,9;0,5;0,1;21139;9202;785
10000;50;0,9;0,5;0,2;22725;9420;885
10000;50;0,7;0,1;0,05;20033;9336;636
10000;50;0,7;0,1;0,1;24522;4452;687
10000;50;0,7;0,1;0,2;26036;9578;685
10000;50;0,7;0,3;0,05;14814;9711;716
10000;50;0,7;0,3;0,1;15363;9006;671
10000;50;0,7;0,3;0,2;14222;9690;809
10000;50;0,7;0,5;0,05;17493;9980;895
10000;50;0,7;0,5;0,1;12649;9804;888
10000;50;0,7;0,5;0,2;12363;9966;914
10000;50;0,5;0,1;0,05;10171;4532;734
10000;50;0,5;0,1;0,1;10406;5901;658
10000;50;0,5;0,1;0,2;10647;6243;664
10000;50;0,5;0,3;0,05;12022;8959;688
10000;50;0,5;0,3;0,1;10768;7266;703
10000;50;0,5;0,3;0,2;10912;6920;699
10000;50;0,5;0,5;0,05;10987;9434;758
10000;50;0,5;0,5;0,1;10505;8537;804
10000;50;0,5;0,5;0,2;10540;9921;780
